StateFip	PLaceFip	Town
01	00100	Abanda
01	03820	Ballplay
01	09457	Bristow Cove
01	09880	Broomtown
01	12070	Carlisle-Rockledge
01	20272	Delta
01	23224	Egypt
01	25864	Fayetteville
01	28120	Fredonia
01	54312	New Market
01	01180	Alexandria
01	03508	Axis
01	10456	Bucks
01	12544	Catherine
01	47848	Megargel
01	05140	Belgreen
01	05188	Bellamy
01	19024	Cullomburg
01	53208	Nanafalia
01	05212	Belle Fontaine
01	26152	Fitzpatrick
01	07588	Blue Ridge
01	08272	Bon Secour
01	08680	Boykin
01	09064	Brantleyville
01	35536	Hollis Crossroads
01	52320	Mount Olive
01	09500	Brook Highland
01	34490	Highland Lakes
01	44160	Lookout Mountain
01	11488	Calvert
01	12112	Carlton
01	14968	Chunchula
01	20152	Deer Park
01	52680	Movico
01	14728	Choccolocco
01	31000	Graham
01	32584	Hackneyville
01	35512	Hollins
01	38032	Ivalee
01	46600	Marbury
01	48784	Millerville
01	51469	Morrison Crossroads
01	16080	Coats Bend
01	21890	Dunnavant
01	23880	Emerald Mountain
01	34984	Hissop
01	53232	Nances Creek
01	16936	Concord
01	17704	Cottondale
01	22504	East Point
01	23032	Edgewater
01	27088	Forestdale
01	24616	Eunola
01	25216	Fairford
01	32248	Gulfcrest
01	27640	Fort Rucker
01	28408	Fruitdale
01	42304	Leroy
01	28816	Gallant
01	31024	Grand Bay
01	31348	Grayson Valley
01	45208	McDonald Chapel
01	49072	Minor
01	52344	Mount Olive
01	33472	Harvest
01	33808	Hazel Green
01	48112	Meridianville
01	51216	Moores Mill
01	33544	Hatton
01	39064	Joppa
01	35130	Hobson
01	46192	Malcolm
01	35704	Holt
01	35752	Holtville
01	36592	Huguley
01	40648	Ladonia
01	42928	Lillian
01	45316	Macedonia
01	47740	Meadowbrook
01	48616	Mignon
01	54582	New Union
01	57384	Our Town
01	57912	Panola
01	59016	Penton
01	59232	Peterman
01	60264	Pine Level
01	62952	Putnam
01	63495	Ray
01	63730	Redland
01	64040	Reeltown
01	65784	Rockville
01	67584	St. Stephens
01	67608	Saks
01	69672	Shelby
01	69978	Shoal Creek
01	70632	Sims Chapel
01	72408	Spring Garden
01	72672	Spruce Pine
01	72720	Standing Rock
01	72816	Stapleton
01	73056	Sterrett
01	73152	Stewartville
01	75768	Theodore
01	76200	Tibbie
01	76208	Tidmore Bend
01	76320	Tillmans Corner
01	78120	Uriah
01	78312	Vandiver
01	79032	Vinegar Bend
01	80736	Weogufka
01	81084	West End-Cobb Town
01	81744	Whatley
01	82104	White Plains
01	82176	Whitesboro
01	77580	Underwood-Petersville
01	59064	Perdido
01	61488	Point Clear
01	63912	Redstone Arsenal
01	65412	Rock Creek
01	65592	Rock Mills
01	69180	Selmont-West Selmont
01	71201	Smoke Rise
01	73272	Stockton
02	00760	Akiachak
02	23720	Eureka Roadhouse
02	01305	Alatna
02	03990	Arctic Village
02	05750	Beaver
02	01390	Alcan Border
02	06850	Big Delta
02	13450	Chicken
02	18675	Deltana
02	19720	Dot Lake
02	01560	Aleneva
02	13860	Chiniak
02	03110	Anchor Point
02	06245	Beluga
02	15320	Clam Gulch
02	16420	Cohoe
02	18925	Diamond Ridge
02	04430	Atmautluak
02	17850	Crooked Creek
02	04670	Attu Station
02	05000	Badger
02	12920	Chena Ridge
02	05585	Bear Creek
02	07070	Big Lake
02	09710	Butte
02	07620	Birch Creek
02	11690	Central
02	11800	Chalkyitsik
02	14880	Circle
02	16630	Coldfoot
02	09657	Buffalo Soapstone
02	10150	Cantwell
02	18805	Denali Park
02	12350	Chase
02	12970	Chenega
02	13340	Chickaloon
02	13670	Chignik Lagoon
02	13780	Chignik Lake
02	13890	Chisana
02	14000	Chistochina
02	14110	Chitina
02	17300	Copper Center
02	16750	College
02	17190	Cooper Landing
02	17960	Crown Point
02	17670	Covenant Life
02	19750	Dot Lake Village
02	20020	Dry Creek
02	20600	Eagle Village
02	21370	Eielson AFB
02	23460	Ester
02	22140	Elfin Cove
02	23790	Evansville
02	23900	Excursion Inlet
02	24980	Farmers Loop
02	25220	Ferry
02	25550	Fishhook
02	25880	Flat
02	26100	Fort Greely
02	26870	Fox
02	26910	Fox River
02	27090	Fritz Creek
02	27145	Funny River
02	27420	Gakona
02	27700	Game Creek
02	28200	Gateway
02	28590	Glacier View
02	28740	Glennallen
02	29130	Goldstream
02	30500	Gulkana
02	31050	Haines
02	31270	Halibut Cove
02	31710	Happy Valley
02	31765	Harding-Birch Lakes
02	32150	Healy
02	32310	Healy Lake
02	32550	Hobart Bay
02	33580	Hope
02	34790	Igiugig
02	35120	Iliamna
02	35890	Ivanof Bay
02	37250	Kalifornsky
02	37540	Karluk
02	37975	Kasigluk
02	38090	Kasilof
02	38910	Kenny Lake
02	39740	Kipnuk
02	40510	Klukwan
02	40645	Knik-Fairview
02	40670	Knik River
02	41210	Kodiak Station
02	41280	Kokhanok
02	41610	Kongiganak
02	42490	Kwigillingok
02	42832	Lakes
02	43810	Levelock
02	44030	Lime Village
02	45295	Lowell Point
02	45700	Lutak
02	45790	McCarthy
02	47735	Meadow Lakes
02	48200	Mendeltna
02	48540	Mentasta Lake
02	50080	Moose Creek
02	50190	Moose Pass
02	50800	Mosquito Lake
02	51455	Mud Bay
02	52210	Nanwalek
02	52845	Naukati Bay
02	25000	Farm Loop
02	42805	Lake Louise
02	43260	Lazy Mountain
02	26835	Four Mile Road
02	42820	Lake Minchumina
02	44580	Livengood
02	46780	Manley Hot Springs
02	49530	Minto
02	32810	Hollis
02	34570	Hyder
02	48870	Metlakatla
02	39630	King Salmon
02	52060	Naknek
02	41500	Koliganek
02	45020	Loring
02	48590	Mertarvik
02	51960	Nabesna
02	52915	Nelchina
02	54050	Nikiski
02	54085	Nikolaevsk
02	54260	Nikolski
02	54480	Ninilchik
02	56220	Northway
02	56250	Northway Junction
02	59320	Paxson
02	59540	Pedro Bay
02	60460	Petersville
02	61120	Pleasant Valley
02	61190	Point Baker
02	61788	Point MacKenzie
02	61825	Point Possession
02	62285	Portage Creek
02	63280	Port Graham
02	64240	Primrose
02	64820	Rampart
02	65345	Ridgeway
02	66510	Salamatof
02	66550	Salcha
02	68370	Seldovia Village
02	70320	Silver Springs
02	70870	Skwentna
02	70930	Slana
02	72190	South Naknek
02	72230	South Van Horn
02	73070	Sterling
02	73290	Stevens Village
02	73950	Sunrise
02	74340	Susitna
02	74350	Susitna North
02	74525	Sutton-Alpine
02	74610	Takotna
02	74830	Talkeetna
02	75077	Tanaina
02	75380	Tatitlek
02	75480	Tazlina
02	78297	Tolsona
02	78350	Tonsina
02	78680	Trapper Creek
02	79780	Twin Hills
02	79830	Two Rivers
02	79890	Tyonek
02	82420	Venetie
02	84120	Whitestone
02	84200	Whitestone Logging Camp
