X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-82.055046,32.396797,1,DOLLARTREE 8500,978 SE Broad St,,Metter,GA,30439,3933,CANDLER,-82.055046,32.396797
-83.405739,42.332569,2,Meijer Gas Station 68,37201 Warren Rd,,Westland,MI,48185,7219,WAYNE,-83.405739,42.332569
-84.418816,38.020084,3,Meijer Gas Station 161,2145 Sir Barton Way,,Lexington,KY,40509,2203,FAYETTE,-84.418816,38.020084
-81.988991,41.46114,4,Mejier Gas Station 308,1820 Nagel Rd,,Avon,OH,44011,1442,LORAIN,-81.988991,41.46114
-88.201988,41.632893,5,Meijer Gas Station 214,13705 S Route 59,,Plainfield,IL,60544,6106,WILL,-88.201988,41.632893
-82.395302,32.868546,6,Shake Rag 7,10525 US Highway 1 S,,Wadley,GA,30477,3810,JEFFERSON,-82.395302,32.868546
-96.738594,32.782848,7,Brothers Food Mart,3333 S Haskell Ave,,Dallas,TX,75223,3130,DALLAS,-96.738594,32.782848
-122.6294,47.59882,8,El Campesino,3627 Wheaton Way,Ste D,Bremerton,WA,98310,3510,KITSAP,-122.6294,47.59882
-98.485779,29.442429,9,Alamo Food Mart,1900 N Saint Marys St,,San Antonio,TX,78212,4542,BEXAR,-98.485779,29.442429
-78.839027,42.912163,10,"Fillmore One Stop Market, Llc ",1411 Fillmore Ave,,Buffalo,NY,14211,1228,ERIE,-78.839027,42.912163
-98.055359,29.27422,11,S.S. Stop,6370 US Highway 87 W,,Sutherland Springs,TX,78161,4725,WILSON,-98.055359,29.27422
-118.46839,34.221004,12,El Progreso 4,8257 Sepulveda Blvd,,Panorama City,CA,91402,4306,LOS ANGELES,-118.46839,34.221004
-86.619041,32.735714,13,Grab N Go,8247 County Road 49,,Verbena,AL,36091,3807,CHILTON,-86.619041,32.735714
-74.266945,40.721199,14,Dollar General 21127,1812 Springfield Ave,,Maplewood,NJ,7040,2902,ESSEX,-74.266945,40.721199
-119.00661,35.353886,15,Brundage Liquor,401 Brundage Ln,,Bakersfield,CA,93304,3210,KERN,-119.00661,35.353886
-82.130119,32.080574,16,Redisville Food Mart,279 W Brazell St,,Reidsville,GA,30453,4410,TATTNALL,-82.130119,32.080574
-74.161766,40.778748,17,Melo Deli Grocery Llc,784 Summer Ave,,Newark,NJ,7104,3657,ESSEX,-74.161766,40.778748
-83.484528,41.617123,18,Meijer Gas Station 116,2801 Curtice Road,,Oregon,OH,43616,,LUCAS,-83.484528,41.617123
-90.102196,29.898857,19,Westbank Seafood,5104 4th St,,Marrero,LA,70072,1702,JEFFERSON,-90.102196,29.898857
-96.751358,32.940117,20,Low Prize Food Mart,1427 W Spring Valley Rd,,Richardson,TX,75080,,DALLAS,-96.751358,32.940117
-85.458237,40.218163,21,Meijer Gas Station 139,6200 W McGalliard Rd,,Muncie,IN,47304,9413,DELAWARE,-85.458237,40.218163
-94.453247,36.419384,22,CASEY'S GENERAL STORE 3891,408 1st Ave SE,,Gravette,AR,72736,9323,BENTON,-94.453247,36.419384
-94.289452,42.280537,23,"Gowrie Grocery, Llc",1119 Market St,,Gowrie,IA,50543,7714,WEBSTER,-94.289452,42.280537
-116.99419,34.885296,24,Sukhtera Inc,100 Montara Rd,,Barstow,CA,92311,5722,SAN BERNARDINO,-116.99419,34.885296
-121.08123,45.175064,25,Maupin Market,507 Deschutes Ave,,Maupin,OR,97037,,WASCO,-121.08123,45.175064
-80.137093,40.803444,26,Thrift Drug 10986,115 Perry Hwy,Ste 146,Harmony,PA,16037,9205,BUTLER,-80.137093,40.803444
-82.968361,42.403633,27,Harper Food Center,13999 Harper Ave,,Detroit,MI,48213,3672,WAYNE,-82.968361,42.403633
-85.93795,39.886883,28,Meijer Gas Station 296,6931 W Broadway,,McCordsville,IN,46055,9007,HANCOCK,-85.93795,39.886883
-121.09853,35.566193,29,Cambria General Store,850 Main St,,Cambria,CA,93428,2818,SAN LUIS OBISPO,-121.09853,35.566193
-69.798485,44.693935,30,Chartrand Farms Beef,196 Smithfield Rd,,Norridgewock,ME,4957,3151,SOMERSET,-69.798485,44.693935
-85.036316,33.731361,31,Red Top Food Mart NA,214 W Highway 78,,Temple,GA,30179,3718,CARROLL,-85.036316,33.731361
-83.740311,30.902975,32,Pantry 1,9083 GA Highway 33,,Pavo,GA,31778,3257,THOMAS,-83.740311,30.902975
-82.977646,42.627762,33,Meijer Gas Station 65,15031 Hall Rd,,Shelby Township,MI,48315,6206,MACOMB,-82.977646,42.627762
-76.662903,34.721073,34,Big Daddy Food Store,317 Cedar St,,Beaufort,NC,28516,1804,CARTERET,-76.662903,34.721073
-78.101746,37.659569,35,Cartersville Farm & Art Market,2168 Cartersville Rd,,Cartersville,VA,23027,9704,CUMBERLAND,-78.101746,37.659569
-95.257423,30.106976,36,La Michoacana Meat Market #h71,23529 Fm 1314 Rd,,Porter,TX,77365,3724,MONTGOMERY,-95.257423,30.106976
-88.092529,42.353073,37,Round Lake Bp,320 W Nippersink Rd,,Round Lake,IL,60073,3222,LAKE,-88.092529,42.353073
-77.646774,43.179398,38,Lexington Market Grocery Store /Jamer Ayers,624 Lexington Ave,,Rochester,NY,14613,2255,MONROE,-77.646774,43.179398
-75.222481,40.688938,39,Ray Jay Groceries,1000 Ferry St,,Easton,PA,18042,4211,NORTHAMPTON,-75.222481,40.688938
-78.370804,33.979256,40,Alex's Wireless 1,150 Holden Beach Rd Suite 11,,Shallotte,NC,28470,,BRUNSWICK,-78.370804,33.979256
-71.077545,42.314507,41,Dacia Family Market,16 Dacia St,,Dorchester,MA,2125,3982,SUFFOLK,-71.077545,42.314507
-95.977806,31.257914,42,Lacy's Grocery & Market,243 E Saint Marys St,,Centerville,TX,75833,3411,LEON,-95.977806,31.257914
-112.16846,33.566959,43,Kwik Corner 5059,5059 W Olive Ave,,Glendale,AZ,85302,3524,MARICOPA,-112.16846,33.566959
-73.895927,40.921619,44,El Ranchero Deli Grocery Corp,350 S Broadway,,Yonkers,NY,10705,2049,WESTCHESTER,-73.895927,40.921619
-88.125053,41.504391,45,Rockdale Fuels Inc,1802 Moen Ave,,Rockdale,IL,60436,9022,WILL,-88.125053,41.504391
